id,price,latitude,longitude,room_type,minimum_nights,number_of_reviews,availability_365
2265,200.0,30.2775,-97.71398,Entire home/apt,7,24,131
5245,114.0,30.27577,-97.71379,Private room,30,9,0
5456,104.0,30.261120000000002,-97.73448,Entire home/apt,2,543,354
6413,99.0,30.24829,-97.73725999999999,Entire home/apt,30,115,0
6448,139.0,30.260270000000002,-97.76503000000001,Entire home/apt,3,235,194
13035,500.0,30.259190000000004,-97.72870999999999,Entire home/apt,2,12,365
21126,190.0,30.24417,-97.73988,Entire home/apt,1,113,138
22166,158.0,30.389570000000003,-97.76216,Entire home/apt,30,11,308
22982,125.0,30.28027,-97.75596,Entire home/apt,30,164,0
25028,117.0,30.337659999999996,-97.73725999999999,Entire home/apt,7,34,226
40285,350.0,30.351409999999998,-97.76323000000001,Entire home/apt,2,30,365
50310,55.0,30.20093,-97.75318,Entire home/apt,14,269,347
50318,117.0,30.28625,-97.75022,Entire home/apt,30,30,331
56690,150.0,30.2444,-97.75121,Entire home/apt,2,176,74
57187,87.0,30.255959999999998,-97.76866,Entire home/apt,1,722,255
69303,154.0,30.2607,-97.77194,Entire home/apt,2,114,245
69352,159.0,30.25775,-97.76354,Entire home/apt,2,390,111
69810,119.0,30.23152,-97.76434,Entire home/apt,2,441,0
70258,225.0,30.236159999999998,-97.76446,Entire home/apt,2,31,90
70812,150.0,30.245009999999997,-97.74986,Entire home/apt,2,144,78
72318,225.0,30.2532,-97.77891,Private room,3,38,73
72633,470.0,30.24604,-97.75329,Entire home/apt,2,40,363
72833,85.0,30.313000000000002,-97.75066,Entire home/apt,3,358,269
73005,230.0,30.415190000000003,-97.73019000000001,Entire home/apt,2,27,306
73289,95.0,30.28985,-97.7451,Entire home/apt,30,49,294
74318,93.0,30.244220000000002,-97.77885,Entire home/apt,2,215,346
75174,125.0,30.247729999999997,-97.72584,Entire home/apt,2,274,0
75957,108.0,30.29187,-97.76824,Entire home/apt,2,323,329
76497,190.0,30.27577,-97.75608000000001,Entire home/apt,2,210,351
76501,100.0,30.29138,-97.71907,Entire home/apt,2,181,135
76911,484.0,30.26775,-97.72695,Entire home/apt,2,143,349
76925,400.0,30.255129999999998,-97.72583,Entire home/apt,2,16,0
76996,80.0,30.23872,-97.74521,Entire home/apt,20,43,267
77635,175.0,30.25177,-97.77888,Entire home/apt,2,16,314
77639,149.0,30.251759999999997,-97.78021,Entire home/apt,2,24,315
77998,190.0,30.25923,-97.66815,Entire home/apt,2,10,299
78035,150.0,30.25625,-97.76765999999999,Entire home/apt,3,90,0
78127,240.0,30.2752,-97.74863,Entire home/apt,1,6,0
78422,65.0,30.27324,-97.71173,Entire home/apt,7,2,52
78757,125.0,30.247159999999997,-97.78200000000001,Private room,2,75,364
78831,109.0,30.312620000000003,-97.72543,Entire home/apt,2,341,6
78884,95.0,30.26088,-97.77438000000001,Entire home/apt,2,143,181
79100,117.0,30.30933,-97.6952,Entire home/apt,30,24,57
79603,199.0,30.24936,-97.75904,Entire home/apt,2,84,247
79768,225.0,30.260709999999996,-97.73258,Entire home/apt,4,34,0
80725,150.0,30.28408,-97.76828,Entire home/apt,30,0,1
82033,400.0,30.304190000000002,-97.68914000000001,Entire home/apt,1,3,89
84771,81.0,30.292690000000004,-97.74345,Entire home/apt,2,16,0
89475,329.0,30.356690000000004,-97.72658,Entire home/apt,30,116,0
90898,119.0,30.24666,-97.7476,Entire home/apt,1,83,354
104386,80.0,30.246129999999997,-97.74528000000001,Entire home/apt,31,129,312
109005,85.0,30.283990000000003,-97.77094,Entire home/apt,3,8,323
113779,126.0,30.303259999999998,-97.73057,Entire home/apt,5,81,320
