Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,NumWebVisitsMonth,Complain,Response,Children,Expenses,TotalAcceptedCmp,NumTotalPurchases,Total_Engaged_Days
1957,Post Graduate,Single,58138.0,2012-04-09,58,7,0,1,0,1617,0,25,997
1954,Post Graduate,Single,46344.0,2014-08-03,38,5,0,0,2,27,0,6,151
1965,Post Graduate,In Relationship,71613.0,2013-08-21,26,4,0,0,0,776,0,21,498
1984,Post Graduate,In Relationship,26646.0,2014-10-02,26,6,0,0,1,53,0,8,91
1981,Post Graduate,In Relationship,58293.0,2014-01-19,94,5,0,0,1,422,0,19,347
1967,Post Graduate,In Relationship,62513.0,2013-09-09,16,6,0,0,1,716,0,22,479
1971,Post Graduate,Single,55635.0,2012-11-13,34,6,0,0,1,590,0,21,779
1985,Post Graduate,In Relationship,33454.0,2013-08-05,32,8,0,0,1,169,0,10,514
1974,Post Graduate,In Relationship,30351.0,2013-06-06,19,9,0,1,1,46,0,6,574
1950,Post Graduate,In Relationship,5648.0,2014-03-13,68,20,0,0,2,49,1,2,294
1983,Post Graduate,In Relationship,52247.25135379061,2013-11-15,11,7,0,0,1,19,0,4,412
1976,Under Graduate,In Relationship,7500.0,2012-11-13,59,8,0,0,0,61,0,6,779
1959,Post Graduate,Single,63033.0,2013-11-15,82,2,0,0,0,1102,0,16,412
1952,Post Graduate,Single,59354.0,2013-11-15,53,6,0,0,2,310,0,15,412
1987,Post Graduate,In Relationship,17323.0,2012-10-10,38,8,0,0,0,46,0,5,813
1946,Post Graduate,Single,82800.0,2012-11-24,23,3,0,1,0,1315,2,26,768
1980,Post Graduate,In Relationship,41850.0,2012-12-24,51,8,0,0,2,96,0,9,738
1946,Post Graduate,In Relationship,37760.0,2012-08-31,20,7,0,0,0,317,0,13,853
1949,Post Graduate,In Relationship,76995.0,2013-03-28,91,5,0,0,1,1782,1,26,644
1985,Post Graduate,Single,33812.0,2012-03-11,86,6,0,0,1,133,0,8,1026
1982,Post Graduate,In Relationship,37040.0,2012-08-08,41,8,0,0,0,316,0,12,876
1979,Post Graduate,In Relationship,2447.0,2013-06-01,42,1,0,0,1,1730,0,43,579
1949,Post Graduate,In Relationship,58607.0,2012-12-23,63,8,0,0,1,972,1,17,739
1954,Post Graduate,In Relationship,65324.0,2014-11-01,0,4,0,0,1,544,0,20,61
1951,Post Graduate,In Relationship,40689.0,2013-03-18,69,8,0,0,1,444,0,20,654
1969,Post Graduate,Single,18589.0,2013-02-01,89,7,0,0,0,75,0,8,699
1976,Post Graduate,In Relationship,53359.0,2013-05-27,4,7,0,0,2,257,0,14,584
1986,Post Graduate,Single,52247.25135379061,2013-02-20,19,1,0,0,1,637,0,27,680
1989,Post Graduate,In Relationship,38360.0,2013-05-31,26,3,0,0,1,131,0,9,580
1965,Post Graduate,In Relationship,84618.0,2013-11-22,96,2,0,0,0,1672,1,26,405
1989,Post Graduate,Single,10979.0,2014-05-22,34,5,0,0,0,30,0,8,224
1963,Post Graduate,In Relationship,38620.0,2013-11-05,56,3,0,0,0,318,0,11,422
1970,Post Graduate,In Relationship,40548.0,2012-10-10,31,5,0,0,1,120,1,9,813
1952,Post Graduate,Single,46610.0,2012-10-29,8,6,0,1,2,302,0,17,794
1946,Post Graduate,In Relationship,68657.0,2013-02-20,4,7,0,0,0,1196,0,18,680
1951,Post Graduate,Single,49389.0,2013-08-29,55,7,0,0,2,65,0,6,490
1970,Post Graduate,In Relationship,67353.0,2013-12-31,37,2,0,0,1,913,0,28,366
1976,Post Graduate,In Relationship,23718.0,2013-02-09,76,7,0,0,1,81,0,9,691
1973,Post Graduate,Single,42429.0,2014-11-02,99,5,0,0,1,67,0,7,60
1943,Post Graduate,Single,48948.0,2013-01-02,53,6,0,1,0,902,1,24,729
1980,Post Graduate,In Relationship,80011.0,2013-04-29,3,4,0,0,1,1395,0,21,612
1985,Post Graduate,In Relationship,20559.0,2013-12-03,88,8,0,0,1,53,0,7,394
1957,Post Graduate,In Relationship,21994.0,2012-12-24,4,5,0,0,1,22,0,4,738
1959,Post Graduate,Single,52247.25135379061,2013-05-11,80,2,0,0,0,186,0,9,600
1975,Post Graduate,In Relationship,7500.0,2013-02-10,19,5,0,0,1,31,0,8,690
1976,Post Graduate,Single,79941.0,2014-06-28,72,1,0,0,0,984,0,16,187
1996,Post Graduate,In Relationship,7500.0,2012-09-11,24,9,0,1,0,122,0,10,842
1968,Post Graduate,In Relationship,41728.0,2013-05-24,92,10,0,0,1,55,0,5,587
1951,Post Graduate,Single,52247.25135379061,2014-01-01,96,6,0,0,3,124,0,10,365
1954,Post Graduate,In Relationship,72550.0,2012-08-11,39,8,0,0,2,1319,0,28,873
1957,Post Graduate,Single,65486.0,2014-12-05,29,2,0,0,1,507,0,17,27
1964,Post Graduate,In Relationship,79143.0,2012-11-08,2,3,0,0,0,1693,0,29,784
1977,Post Graduate,Single,35790.0,2013-02-01,54,7,0,0,1,72,0,7,699
1977,Post Graduate,Single,82582.0,2014-07-06,54,1,0,1,0,1617,2,21,179
1978,Post Graduate,In Relationship,66373.0,2013-12-06,57,3,0,0,2,606,0,23,391
1955,Post Graduate,In Relationship,82384.0,2012-11-19,55,1,0,1,0,1957,1,27,773
1966,Post Graduate,Single,70287.0,2013-02-04,30,3,0,1,0,1093,0,21,696
1988,Post Graduate,Single,27938.0,2014-04-28,31,3,0,0,1,29,0,6,248
1982,Post Graduate,Single,52247.25135379061,2013-06-17,57,6,0,0,1,46,0,7,563
1968,Post Graduate,In Relationship,55954.0,2014-03-03,63,7,0,0,1,518,0,19,304
1982,Post Graduate,Single,75777.0,2013-04-07,12,1,0,1,0,1438,2,21,634
1975,Post Graduate,In Relationship,66653.0,2012-07-09,18,3,0,0,2,612,0,22,906
1952,Post Graduate,Single,61823.0,2013-02-18,26,7,0,0,1,884,0,24,682
1951,Post Graduate,Single,67680.0,2013-11-06,8,5,0,0,1,606,0,19,421
1948,Post Graduate,In Relationship,70666.0,2013-06-12,29,4,0,0,0,1076,0,16,568
